,index,symbol,date,close,open,high,low,volume,market_cap
129,15,BIRD.JK,2026-09-04,1630,1635,1640,1625,1006200,4078423000000
130,16,BIRD.JK,2026-09-07,1625,1630,1640,1625,384200,4065912500000
131,17,BIRD.JK,2026-09-08,1620,1625,1630,1620,405000,4053402000000
132,18,BIRD.JK,2026-09-09,1625,1625,1625,1615,429200,4065912500000
133,0,ASSA.JK,2026-08-12,625,630,635,620,2522300,2306960948125
134,1,ASSA.JK,2026-08-13,615,625,630,610,4471100,2270049572955
135,2,ASSA.JK,2026-08-14,630,620,635,615,3704700,2325416635710
136,3,ASSA.JK,2026-08-18,645,630,665,630,14732600,2380783698465
137,4,ASSA.JK,2026-08-19,645,645,660,640,5415800,2380783698465
138,5,ASSA.JK,2026-08-20,645,645,655,640,7908300,2380783698465
139,6,ASSA.JK,2026-08-21,640,655,685,635,20483800,2362328010880
140,7,ASSA.JK,2026-08-24,625,635,640,615,11708500,2306960948125
141,8,ASSA.JK,2026-08-26,610,625,645,610,13941400,2251593885370
142,9,ASSA.JK,2026-08-27,625,610,630,610,4668000,2306960948125
143,10,ASSA.JK,2026-08-28,635,630,650,625,15066200,2343872323295
144,11,ASSA.JK,2026-08-31,635,650,650,630,6506000,2343872323295
145,12,ASSA.JK,2026-09-01,645,635,650,630,9680700,2380783698465
146,13,ASSA.JK,2026-09-02,635,645,650,625,14193900,2343872323295
147,14,ASSA.JK,2026-09-03,640,640,645,630,21849700,2362328010880
148,15,ASSA.JK,2026-09-04,640,640,665,640,23131900,2362328010880
149,16,ASSA.JK,2026-09-07,655,650,665,640,18313900,2417695073635
150,17,ASSA.JK,2026-09-08,650,655,665,650,11227000,2399239386050
151,18,ASSA.JK,2026-09-09,635,655,655,630,18406200,2343872323295
152,0,IMJS.JK,2026-08-12,162,159,163,157,4745300,1757580525000
153,1,IMJS.JK,2026-08-13,158,162,164,156,2935200,1714183475000
154,2,IMJS.JK,2026-08-14,160,158,162,157,1694300,1735882000000
155,3,IMJS.JK,2026-08-18,163,161,163,159,2332700,1768429787500
156,4,IMJS.JK,2026-08-19,167,163,167,161,2970100,1811826837500
157,5,IMJS.JK,2026-08-20,171,168,172,166,6712700,1855223887500
158,6,IMJS.JK,2026-08-21,172,172,175,171,9658100,1866073150000
159,7,IMJS.JK,2026-08-24,173,173,178,173,5070200,1876922412500
160,8,IMJS.JK,2026-08-26,164,173,174,164,4166400,1779279050000
161,9,IMJS.JK,2026-08-27,173,164,173,164,4902900,1876922412500
162,10,IMJS.JK,2026-08-28,169,173,175,169,1720200,1833525362500
163,11,IMJS.JK,2026-08-31,168,173,173,168,1217900,1822676100000
164,12,IMJS.JK,2026-09-01,170,169,172,165,6115400,1844374625000
165,13,IMJS.JK,2026-09-02,169,171,171,166,2387600,1833525362500
166,14,IMJS.JK,2026-09-03,198,200,212,192,108370200,2148153975000
167,15,IMJS.JK,2026-09-04,188,198,200,187,17688000,2039661350000
168,16,IMJS.JK,2026-09-07,188,187,189,183,6037200,2039661350000
169,17,IMJS.JK,2026-09-08,194,190,194,188,5038400,2104756925000
170,18,IMJS.JK,2026-09-09,189,195,195,188,3792600,2050510612500
171,0,BLOG.JK,2026-08-12,384,380,388,380,996400,1297723084800
172,1,BLOG.JK,2026-08-13,382,384,386,378,470200,1290964110400
173,2,BLOG.JK,2026-08-14,386,384,388,380,157700,1304482059200
174,3,BLOG.JK,2026-08-18,382,386,386,380,97100,1290964110400
175,4,BLOG.JK,2026-08-19,382,382,382,378,292800,1290964110400
176,5,BLOG.JK,2026-08-20,380,382,382,378,203400,1284205136000
177,6,BLOG.JK,2026-08-21,382,382,382,378,204800,1290964110400
178,7,BLOG.JK,2026-08-24,384,382,384,378,359000,1297723084800
179,8,BLOG.JK,2026-08-26,380,384,386,376,633100,1284205136000
180,9,BLOG.JK,2026-08-27,384,380,386,380,84600,1297723084800
181,10,BLOG.JK,2026-08-28,382,384,388,380,126900,1290964110400
182,11,BLOG.JK,2026-08-31,382,382,386,380,427600,1290964110400
183,12,BLOG.JK,2026-09-01,384,382,386,380,633400,1297723084800
184,13,BLOG.JK,2026-09-02,378,382,382,378,380400,1277446161600
185,14,BLOG.JK,2026-09-03,380,380,380,378,282400,1284205136000
186,15,BLOG.JK,2026-09-04,382,380,384,378,1098100,1290964110400
187,16,BLOG.JK,2026-09-07,378,380,382,376,896400,1277446161600
188,17,BLOG.JK,2026-09-08,378,378,380,376,384800,1277446161600
189,18,BLOG.JK,2026-09-09,372,380,380,372,1345900,1257169238400
