Date,symbol,Open,High,Low,Close,Volume,Dividends,Stock Splits,day_of_week,is_weekend,is_dividend,is_stock_split,daily_return_pct,MA_7_Close,MA_30_Close,MA_7_Volume,volatility_7d,target_volume_T_plus_1
2021-12-19,SMDR.JK,170.69498180167022,178.4892732081392,170.69498180167022,173.8126983642578,0.0,0.0,0.0,6,1,0,0,0.0,173.58999851771765,150.09205525716146,106173428.57142857,0.06579793288211266,43459500.0
2021-12-20,SMDR.JK,174.5921171695814,175.3715462640885,165.2389680354967,169.91554260253906,43459500.0,0.0,0.0,0,0,0,0,-0.02242158253335158,174.2580806187221,150.8714848836263,83589142.85714285,0.04765461750348782,45720500.0
2021-12-21,SMDR.JK,169.9155527985041,169.9155527985041,159.00354482061854,169.13612365722656,45720500.0,0.0,0.0,1,0,0,0,-0.004587096232483545,172.36518205915178,151.62493387858072,43163857.14285714,0.019443058830680475,36678500.0
2021-12-22,SMDR.JK,169.13610810917135,176.15096973581902,164.45953369140625,164.45953369140625,36678500.0,0.0,0.0,2,0,0,0,-0.027649858969796104,170.8063245500837,152.1705342610677,31979571.42857143,0.01715085309933843,33752000.0
2021-12-23,SMDR.JK,164.4595233241907,166.79781038567208,160.56237822172173,162.90066528320312,33752000.0,0.0,0.0,3,0,0,0,-0.009478735426358464,169.69285147530692,152.87201995849608,27700428.57142857,0.015335820614288159,37186500.0
2021-12-24,SMDR.JK,162.90065481582124,168.35665760869566,160.56236790458937,161.341796875,37186500.0,0.0,0.0,4,0,0,0,-0.009569441631763875,167.91129411969865,153.4695816040039,28113857.14285714,0.010751798605535535,0.0
2021-12-25,SMDR.JK,162.90065481582124,168.35665760869566,160.56236790458937,161.341796875,0.0,0.0,0.0,5,1,0,0,0.0,166.1297367640904,154.06714324951173,28113857.14285714,0.010751798605535535,0.0
2021-12-26,SMDR.JK,162.90065481582124,168.35665760869566,160.56236790458937,161.341796875,0.0,0.0,0.0,6,1,0,0,0.0,164.34817940848214,154.9245147705078,28113857.14285714,0.010751798605535535,20005000.0
2021-12-27,SMDR.JK,162.1212464825237,167.57724996991632,161.34181741289618,164.45953369140625,20005000.0,0.0,0.0,0,0,0,0,0.01932380125170985,163.5687495640346,155.88581085205078,24763214.285714287,0.01410941590630524,19998500.0
2021-12-28,SMDR.JK,166.01838106322057,166.7978100822967,160.5623779296875,160.5623779296875,19998500.0,0.0,0.0,1,0,0,0,-0.023696745784476225,162.34392874581474,156.71720174153646,21088642.85714286,0.015854935922166098,14396500.0
2021-12-29,SMDR.JK,160.5623779296875,162.90066498691596,159.0035198915352,160.5623779296875,14396500.0,0.0,0.0,2,0,0,0,0.0,161.78719220842635,157.57457326253254,17905500.0,0.013152956323072167,53026500.0
2021-12-30,SMDR.JK,161.3418168111063,162.90067494454695,151.98866801046245,155.10638427734375,53026500.0,0.0,0.0,3,0,0,0,-0.033980523474390734,160.67372349330358,158.1981165568034,20659000.0,0.017574170333345875,0.0
2021-12-31,SMDR.JK,161.3418168111063,162.90067494454695,151.98866801046245,155.10638427734375,0.0,0.0,0.0,4,0,0,0,0.0,159.78295026506697,158.6397928873698,15346642.857142856,0.017698774984583842,0.0
2022-01-01,SMDR.JK,161.3418168111063,162.90067494454695,151.98866801046245,155.10638427734375,0.0,0.0,0.0,5,1,0,0,0.0,158.89217703683036,159.10744984944662,15346642.857142856,0.017698774984583842,0.0
2022-01-02,SMDR.JK,161.3418168111063,162.90067494454695,151.98866801046245,155.10638427734375,0.0,0.0,0.0,6,1,0,0,0.0,158.00140380859375,159.41922200520833,15346642.857142856,0.017698774984583842,49005500.0
2022-01-03,SMDR.JK,155.10638967550025,165.2389678955078,152.76810239396005,165.2389678955078,49005500.0,0.0,0.0,0,0,0,0,0.06532667024231653,158.11275155203683,160.0687469482422,19489571.42857143,0.03155795339107876,52483000.0
2022-01-04,SMDR.JK,166.0184070921164,172.25384022233675,165.23897795083886,169.13612365722656,52483000.0,0.0,0.0,1,0,0,0,0.02358496794886289,159.3375723702567,160.84817708333333,24130214.285714287,0.03040679606515276,38935000.0
2022-01-05,SMDR.JK,169.13609744715347,173.03324254962246,162.12123626270932,162.90066528320312,38935000.0,0.0,0.0,2,0,0,0,-0.0368665086984038,159.67161342075892,161.41975860595704,27635714.285714287,0.03485929198749052,22577500.0
2022-01-06,SMDR.JK,162.12123626270932,163.6800943036969,157.44466213974655,162.90066528320312,22577500.0,0.0,0.0,3,0,0,0,0.0,160.7850821358817,161.91339670817058,23285857.14285714,0.0310805607015778,14662500.0
2022-01-07,SMDR.JK,163.68010462177872,165.23896276103378,160.56238834326865,164.45953369140625,14662500.0,0.0,0.0,4,0,0,0,0.009569441631763986,162.12124633789062,162.5369405110677,25380500.0,0.03090901096424657,0.0
2022-01-08,SMDR.JK,163.68010462177872,165.23896276103378,160.56238834326865,164.45953369140625,0.0,0.0,0.0,5,1,0,0,0.0,163.45741053989954,163.2644073486328,25380500.0,0.03090901096424657,0.0
2022-01-09,SMDR.JK,163.68010462177872,165.23896276103378,160.56238834326865,164.45953369140625,0.0,0.0,0.0,6,1,0,0,0.0,164.7935747419085,163.88795115152996,25380500.0,0.03090901096424657,31427500.0
2022-01-10,SMDR.JK,164.4595385772254,164.4595385772254,157.44467674217788,158.22410583496094,31427500.0,0.0,0.0,0,0,0,0,-0.037914663361173995,163.79145159040178,164.30364735921225,22869357.14285714,0.02308298448732822,34293000.0
